Ticker,Last,Current,Expected,Return,Obs,Nop,Pnop,Adj_R2,F_stat,RSE,SPY,Sector
GRMN,2017-05-03,51.88,51.7342036205,-0.00281026174787,63.0,2,1,0.812097174485,134.978892228,0.253504335423,0.027969,Consumer Discretionary
GS,2017-05-04,221.48,263.187275016,0.188311698647,61.0,2,1,0.782361046579,108.842971253,0.173605807507,0.3839,Financials
GT,2017-04-28,35.58,52.791083367,0.483729155902,65.0,2,1,0.752602526154,98.346510708,0.249892113294,0.042598,Consumer Discretionary
GWW,2017-07-27,167.47,134.175069632,-0.198811311683,64.0,2,1,0.95981278586,753.331392005,0.138018342024,0.042349,Industrials
HAL,2017-04-28,43.09,44.9788156562,0.0438341994952,64.0,3,2,0.834373399316,106.791227455,0.25318612106,0.185438,Energy
HAS,2017-05-10,106.64,143.643464427,0.346994227558,63.0,2,1,0.952246462845,619.166571666,0.145697031078,0.059889,Consumer Discretionary
HBAN,2017-04-28,13.12,11.3632886153,-0.133895684811,66.0,4,2,0.808109777375,69.4338352561,0.2325956714,0.068648,Financials
HBI,2017-05-03,23.12,17.1406668045,-0.258621678006,37.0,2,1,0.917325405881,200.721056773,0.217147912291,0.041,Consumer Discretionary
HCN,2017-05-05,72.79,61.0177025197,-0.161729598575,65.0,3,1,0.917940047813,239.639196078,0.167304781967,0.127293,Real Estate
HCP,2017-05-02,31.91,24.8504698375,-0.22123253408,65.0,3,1,0.88884849623,171.596893517,0.174743677831,0.069131,Real Estate
HD,2017-05-23,147.73,167.266960521,0.132247752798,63.0,5,2,0.943545747566,208.246872739,0.150948763589,0.829277,Consumer Discretionary
HES,2017-05-04,43.98,37.4834287141,-0.147716491266,63.0,2,1,0.821369515505,143.542607174,0.231492841538,0.05519,Energy
HIG,2017-07-27,52.92,46.6613365793,-0.118266504548,64.0,2,1,0.813280531726,138.202279903,0.22077283917,0.093204,Financials
HOG,2017-05-04,50.26,45.0864304428,-0.102936123303,64.0,2,1,0.65217888252,60.0637939071,0.199887672959,0.040532,Consumer Discretionary
HOLX,2017-05-10,44.44,46.8003068248,0.0531122147803,64.0,2,1,0.819874341831,144.377917561,0.353247242257,0.059978,Health Care
HON,2017-07-21,136.98,154.366894785,0.126930170716,64.0,6,1,0.956284650527,230.69023356,0.122149444647,0.48528,Industrials
HP,2017-05-05,53.05,58.6698696805,0.105935337992,64.0,3,1,0.908106485945,208.525377619,0.207080855637,0.02872,Energy
