Name,Ticker,Weight,Sector,Shares
Cabot Oil & Gas Corporation,COG,0.056021,Energy,5316369
Hess Corporation,HES,0.05519,Energy,2972502
Gartner Inc.,IT,0.055177,Information Technology,1027207
Seagate Technology PLC,STX,0.054227,Information Technology,3263702
Synopsys Inc.,SNPS,0.053537,Information Technology,1675257
CBRE Group Inc. Class A,CBG,0.053433,Real Estate,3345738
Mid-America Apartment Communities Inc.,MAA,0.053406,Real Estate,1254398
Darden Restaurants Inc.,DRI,0.052537,Consumer Discretionary,1391597
Kansas City Southern,KSU,0.052439,Industrials,1195457
Universal Health Services Inc. Class B,UHS,0.052243,Health Care,991566
Cincinnati Financial Corporation,CINF,0.052174,Financials,1671379
Juniper Networks Inc.,JNPR,0.052102,Information Technology,4230426
Alexandria Real Estate Equities Inc.,ARE,0.051916,Real Estate,1009011
Everest Re Group Ltd.,RE,0.051837,Financials,457000
E*TRADE Financial Corporation,ETFC,0.051774,Financials,3101885
Unum Group,UNM,0.051569,Financials,2562801
Arconic Inc.,ARNC,0.051462,Industrials,4933055
CA Inc.,CA,0.051181,Information Technology,3505398
Alaska Air Group Inc.,ALK,0.051165,Industrials,1362393
Pentair plc,PNR,0.05116,Industrials,1863617
Cintas Corporation,CTAS,0.051105,Industrials,956362
Lennar Corporation Class A,LEN,0.051034,Consumer Discretionary,2273337
L Brands Inc.,LB,0.050966,Consumer Discretionary,2684056
Wyndham Worldwide Corporation,WYN,0.050771,Consumer Discretionary,1173561
Raymond James Financial Inc.,RJF,0.050655,Financials,1452657
ANSYS Inc.,ANSS,0.050529,Information Technology,951350
Perrigo Co. Plc,PRGO,0.050486,Health Care,1586249
Expeditors International of Washington Inc.,EXPD,0.049951,Industrials,2006933
EQT Corporation,EQT,0.049908,Energy,1911026
Advanced Micro Devices Inc.,AMD,0.049903,Information Technology,8579357
Wynn Resorts Limited,WYNN,0.049845,Consumer Discretionary,895887
McCormick & Company Incorporated,MKC,0.049557,Consumer Staples,1271349
Arthur J. Gallagher & Co.,AJG,0.049335,Financials,2008720
International Flavors & Fragrances Inc.,IFF,0.04926,Materials,876283
DaVita Inc.,DVA,0.048722,Health Care,1740339
UDR Inc.,UDR,0.048707,Real Estate,2942653
Chipotle Mexican Grill Inc.,CMG,0.048585,Consumer Discretionary,323745
SL Green Realty Corp.,SLG,0.04858,Real Estate,1139567
United Rentals Inc.,URI,0.048507,Industrials,939140
Total System Services Inc.,TSS,0.048316,Information Technology,1866639
Xylem Inc.,XYL,0.048257,Industrials,2011074
Marathon Oil Corporation,MRO,0.047824,Energy,9377041
LKQ Corporation,LKQ,0.04775,Consumer Discretionary,3389799
Tiffany & Co.,TIF,0.047602,Consumer Discretionary,1219216
Affiliated Managers Group Inc.,AMG,0.047564,Financials,634292
Interpublic Group of Companies Inc.,IPG,0.047462,Consumer Discretionary,4426260
Campbell Soup Company,CPB,0.047278,Consumer Staples,2160384
FMC Corporation,FMC,0.047069,Materials,1473433
Fortune Brands Home & Security Inc.,FBHS,0.046648,Industrials,1686324
Varian Medical Systems Inc.,VAR,0.046168,Health Care,1049672
Extra Space Storage Inc.,EXR,0.04548,Real Estate,1379281
Pinnacle West Capital Corporation,PNW,0.044639,Utilities,1223503
Regency Centers Corporation,REG,0.044388,Real Estate,1632730
Western Union Company,WU,0.044321,Information Technology,5511142
Federal Realty Investment Trust,FRT,0.044172,Real Estate,806144
Alliant Energy Corp,LNT,0.044069,Utilities,2549496
PVH Corp.,PVH,0.044013,Consumer Discretionary,902128
BorgWarner Inc.,BWA,0.043554,Consumer Discretionary,2232302
C.H. Robinson Worldwide Inc.,CHRW,0.043206,Industrials,1576769
SCANA Corporation,SCG,0.042948,Utilities,1574389
Akamai Technologies Inc.,AKAM,0.042779,Information Technology,1938387
Goodyear Tire & Rubber Company,GT,0.042598,Consumer Discretionary,2813595
W.W. Grainger Inc.,GWW,0.042349,Industrials,605407
Cimarex Energy Co.,XEC,0.042135,Energy,1045122
Coty Inc. Class A,COTY,0.041884,Consumer Staples,5260462
Sealed Air Corporation,SEE,0.041872,Materials,2181918
Zions Bancorporation,ZION,0.041679,Financials,2255542
VeriSign Inc.,VRSN,0.041459,Information Technology,995165
Acuity Brands Inc.,AYI,0.041214,Industrials,480498
Hormel Foods Corporation,HRL,0.041164,Consumer Staples,2965725
Qorvo Inc.,QRVO,0.041017,Information Technology,1416071
Hanesbrands Inc.,HBI,0.041,Consumer Discretionary,4182013
Leucadia National Corporation,LUK,0.040925,Financials,3675053
Torchmark Corporation,TMK,0.040881,Financials,1239666
Snap-on Incorporated,SNA,0.040589,Industrials,640530
Harley-Davidson Inc.,HOG,0.040532,Consumer Discretionary,1971775
Iron Mountain Inc.,IRM,0.040103,Real Estate,2742687
Mosaic Company,MOS,0.039984,Materials,3882996
CBOE Holdings Inc.,CBOE,0.039447,Financials,1004706
NiSource Inc,NI,0.039396,Utilities,3619988
Avery Dennison Corporation,AVY,0.039065,Materials,985345
F5 Networks Inc.,FFIV,0.03883,Information Technology,724024
