Ticker,Name,Asset Class,Weight,Sector
BBBY,BED BATH AND BEYOND INC,Equity,0.27,Consumer Discretionary
HPT,HOSPITALITY PROPERTIES TRUST REIT,Equity,0.27,Real Estate
FICO,FAIR ISAAC CORP,Equity,0.27,Information Technology
SNH,SENIOR HOUSING PROPERTIES TRUST RE,Equity,0.26,Real Estate
NATI,NATIONAL INSTRUMENTS CORP,Equity,0.26,Information Technology
MDSO,MEDIDATA SOLUTIONS INC,Equity,0.26,Health Care
TECH,BIO TECHNE CORP,Equity,0.26,Health Care
TRN,TRINITY INDUSTRIES INC,Equity,0.26,Industrials
CW,CURTISS WRIGHT CORP,Equity,0.26,Industrials
CASY,CASEYS GENERAL STORES INC,Equity,0.26,Consumer Staples
CTLT,CATALENT INC,Equity,0.26,Health Care
MUR,MURPHY OIL CORP,Equity,0.26,Energy
SMG,SCOTTS MIRACLE GRO,Equity,0.26,Materials
THS,TREEHOUSE FOODS INC,Equity,0.26,Consumer Staples
ROL,ROLLINS INC,Equity,0.26,Industrials
BLKB,BLACKBAUD INC,Equity,0.26,Information Technology
WTFC,WINTRUST FINANCIAL CORP,Equity,0.26,Financials
DNB,DUN & BRADSTREET CORP,Equity,0.26,Industrials
TDC,TERADATA CORP,Equity,0.26,Information Technology
THG,HANOVER INSURANCE GROUP INC,Equity,0.25,Financials
FHN,FIRST HORIZON NATIONAL CORP,Equity,0.25,Financials
CNK,CINEMARK HOLDINGS INC,Equity,0.25,Consumer Discretionary
WPX,WPX ENERGY INC,Equity,0.25,Energy
LFUS,LITTELFUSE INC,Equity,0.25,Information Technology
MD,MEDNAX INC,Equity,0.25,Health Care
GWR,GENESEE & WYOMING INC CLASS A,Equity,0.25,Industrials
X,US STEEL CORP CORP,Equity,0.25,Materials
UMPQ,UMPQUA HOLDINGS CORP,Equity,0.25,Financials
EPC,EDGEWELL PERSONAL CARE,Equity,0.25,Consumer Staples
MNK,MALLINCKRODT,Equity,0.25,Health Care
SABR,SABRE CORP,Equity,0.25,Information Technology
NEU,NEWMARKET CORP,Equity,0.25,Materials
WEX,WEX INC,Equity,0.25,Information Technology
ACHC,ACADIA HEALTHCARE COMPANY INC,Equity,0.25,Health Care
TCBI,TEXAS CAPITAL BANCSHARES INC,Equity,0.24,Financials
MMS,MAXIMUS INC,Equity,0.24,Information Technology
EME,EMCOR GROUP INC,Equity,0.24,Industrials
ASH,ASHLAND GLOBAL INC,Equity,0.24,Materials
HBHC,HANCOCK HOLDING,Equity,0.24,Financials
OGS,ONE GAS INC,Equity,0.24,Utilities
BMS,BEMIS INC,Equity,0.24,Materials
R,RYDER SYSTEM INC,Equity,0.24,Industrials
OI,OWENS ILLINOIS INC,Equity,0.24,Materials
VSM,VERSUM MATERIALS INC,Equity,0.24,Information Technology
MASI,MASIMO CORP,Equity,0.24,Health Care
CUZ,COUSINS PROPERTIES REIT INC,Equity,0.24,Real Estate
WRI,WEINGARTEN REALTY INVESTORS REIT,Equity,0.24,Real Estate
CR,CRANE,Equity,0.24,Industrials
WWD,WOODWARD INC,Equity,0.24,Industrials
CLGX,CORELOGIC INC,Equity,0.24,Information Technology
MPWR,MONOLITHIC POWER SYSTEMS INC,Equity,0.24,Information Technology
TEX,TEREX CORP,Equity,0.24,Industrials
HR,HEALTHCARE REALTY TRUST REIT INC T,Equity,0.23,Real Estate
SWX,SOUTHWEST GAS HOLDINGS INC,Equity,0.23,Utilities
HLS,HEALTHSOUTH CORP,Equity,0.23,Health Care
RYN,RAYONIER REIT INC,Equity,0.23,Real Estate
RBC,REGAL BELOIT CORP,Equity,0.23,Industrials
FSLR,FIRST SOLAR INC,Equity,0.23,Information Technology
JCOM,J2 GLOBAL INC,Equity,0.23,Information Technology
SKX,SKECHERS USA INC CLASS A,Equity,0.23,Consumer Discretionary
ITT,ITT INC,Equity,0.23,Industrials
BKH,BLACK HILLS CORP,Equity,0.23,Utilities
NJR,NEW JERSEY RESOURCES CORP,Equity,0.23,Utilities
CRUS,CIRRUS LOGIC INC,Equity,0.23,Information Technology
CBRL,CRACKER BARREL OLD COUNTRY STORE I,Equity,0.23,Consumer Discretionary
UBSI,UNITED BANKSHARES INC,Equity,0.22,Financials
TECD,TECH DATA CORP,Equity,0.22,Information Technology
WSM,WILLIAMS SONOMA INC,Equity,0.22,Consumer Discretionary
PRI,PRIMERICA INC,Equity,0.22,Financials
BOH,BANK OF HAWAII CORP.,Equity,0.22,Financials
HE,HAWAIIAN ELECTRIC INDUSTRIES INC,Equity,0.22,Utilities
ASB,ASSOCIATED BANCORP,Equity,0.22,Financials
CABO,CABLE ONE INC,Equity,0.22,Consumer Discretionary
FR,FIRST INDUSTRIAL REALTY TRUST INC,Equity,0.22,Real Estate
LSTR,LANDSTAR SYSTEM INC,Equity,0.22,Industrials
LPX,LOUISIANA PACIFIC CORP,Equity,0.22,Materials
RIG,TRANSOCEAN LTD,Equity,0.22,Energy
CIEN,CIENA CORP,Equity,0.22,Information Technology
DAN,DANA INCORPORATED INC,Equity,0.21,Consumer Discretionary
VSAT,VIASAT INC,Equity,0.21,Information Technology
GEO,GEO GROUP REIT INC,Equity,0.21,Real Estate
UNIT,UNITI GROUP INC,Equity,0.21,Real Estate
SNX,SYNNEX CORP,Equity,0.21,Information Technology
AMCX,AMC NETWORKS CLASS A INC,Equity,0.21,Consumer Discretionary
CNO,CNO FINANCIAL GROUP INC,Equity,0.21,Financials
TCO,TAUBMAN CENTERS REIT INC,Equity,0.21,Real Estate
VMI,VALMONT INDS INC,Equity,0.21,Industrials
SF,STIFEL FINANCIAL CORP,Equity,0.21,Financials
DLX,DELUXE CORP,Equity,0.21,Industrials
LSI,LIFE STORAGE INC,Equity,0.21,Real Estate
CHFC,CHEMICAL FINANCIAL CORP,Equity,0.21,Financials
DKS,DICKS SPORTING INC,Equity,0.2,Consumer Discretionary
KEX,KIRBY CORP,Equity,0.2,Industrials
NUVA,NUVASIVE INC,Equity,0.2,Health Care
SXT,SENSIENT TECHNOLOGIES CORP,Equity,0.2,Materials
CBT,CABOT CORP,Equity,0.2,Materials
DST,DST SYSTEMS INC,Equity,0.2,Information Technology
PNM,PNM RESOURCES INC,Equity,0.2,Utilities
LHO,LASALLE HOTEL PROPERTIES REIT,Equity,0.2,Real Estate
FLO,FLOWERS FOODS INC,Equity,0.2,Consumer Staples
OFC,CORPORATE OFFICE PROPERTIES TRUST,Equity,0.2,Real Estate
LM,LEGG MASON INC,Equity,0.2,Financials
CXW,CORECIVIC REIT INC,Equity,0.2,Real Estate
MSM,MSC INDUSTRIAL INC CLASS A,Equity,0.2,Industrials
IDTI,INTEGRATED DEVICE TECHNOLOGY INC,Equity,0.2,Information Technology
ENS,ENERSYS,Equity,0.2,Industrials
FULT,FULTON FINANCIAL CORP,Equity,0.2,Financials
SLAB,SILICON LABORATORIES INC,Equity,0.19,Information Technology
VLY,VALLEY NATIONAL,Equity,0.19,Financials
HOMB,HOME BANCSHARES INC,Equity,0.19,Financials
PTEN,PATTERSON UTI ENERGY INC,Equity,0.19,Energy
TXRH,TEXAS ROADHOUSE INC,Equity,0.19,Consumer Discretionary
TKR,TIMKEN,Equity,0.19,Industrials
SAIC,SCIENCE APPLICATIONS INTERNATIONAL,Equity,0.19,Information Technology
NTCT,NETSCOUT SYSTEMS INC,Equity,0.19,Information Technology
BDC,BELDEN INC,Equity,0.19,Information Technology
ODP,OFFICE DEPOT INC,Equity,0.19,Consumer Discretionary
SFM,SPROUTS FARMERS MARKET INC,Equity,0.19,Consumer Staples
UMBF,UMB FINANCIAL CORP,Equity,0.19,Financials
TUP,TUPPERWARE BRANDS CORP,Equity,0.19,Consumer Discretionary
MANH,MANHATTAN ASSOCIATES INC,Equity,0.19,Information Technology
NUS,NU SKIN ENTERPRISES INC CLASS A,Equity,0.19,Consumer Staples
INCR,INC RESEARCH HOLDINGS INC CLASS A,Equity,0.18,Health Care
LNCE,SNYDERS-LANCE INC,Equity,0.18,Consumer Staples
WAFD,WASHINGTON FEDERAL INC,Equity,0.18,Financials
WEN,WENDYS,Equity,0.18,Consumer Discretionary
MBFI,MB FINANCIAL INC,Equity,0.18,Financials
KMT,KENNAMETAL INC,Equity,0.18,Industrials
POL,POLYONE CORP,Equity,0.18,Materials
JBGS,JBG SMITH PROPERTIES,Equity,0.18,Real Estate
AKRX,AKORN INC,Equity,0.18,Health Care
AAN,AARONS INC,Equity,0.18,Consumer Discretionary
AHL,ASPEN INSURANCE HOLDINGS LTD,Equity,0.18,Financials
NWE,NORTHWESTERN CORP,Equity,0.18,Utilities
TGNA,TEGNA INC,Equity,0.18,Consumer Discretionary
SBH,SALLY BEAUTY HOLDINGS INC,Equity,0.17,Consumer Discretionary
CLH,CLEAN HARBORS INC,Equity,0.17,Industrials
CATY,CATHAY GENERAL BANCORP,Equity,0.17,Financials
PBH,PRESTIGE BRANDS HOLDINGS INC,Equity,0.17,Health Care
TPX,TEMPUR SEALY INTERNATIONAL INC,Equity,0.17,Consumer Discretionary
EDR,EDUCATION REALTY TRUST REIT INC TR,Equity,0.17,Real Estate
CNX,CONSOL ENERGY INC,Equity,0.17,Energy
GHC,GRAHAM HOLDINGS COMPANY CLASS B,Equity,0.17,Consumer Discretionary
JACK,JACK IN THE BOX INC,Equity,0.17,Consumer Discretionary
HELE,HELEN OF TROY LTD,Equity,0.17,Consumer Discretionary
CAB,CABELAS INC,Equity,0.17,Consumer Discretionary
TCF,TCF FINANCIAL CORP,Equity,0.17,Financials
TDS,TELEPHONE AND DATA SYSTEMS INC,Equity,0.17,Telecommunications
CAA,CALATLANTIC GROUP INC,Equity,0.17,Consumer Discretionary
CAR,AVIS BUDGET GROUP INC,Equity,0.17,Industrials
SWN,SOUTHWESTERN ENERGY,Equity,0.17,Energy
KLXI,KLX INC,Equity,0.17,Industrials
LIVN,LIVANOVA PLC,Equity,0.16,Health Care
ACIW,ACI WORLDWIDE INC,Equity,0.16,Information Technology
